Level1_name,Level2_name,Level2_showname,value
1999,願境網訊股份有限公司\nKKBOX Taiwan Co.Ltd.,KKBOX,2950
2007,威朋大數據股份有限公司\nVPON TAIWAN INC.,VPON,1627
2008,優必達科技有限公司\nUBITUS TECHNOLOGY LIMITED,UBITUS TECHNOLOGY,482
2010,沛星互動科技股份有限公司\nAppier Inc.,Appier,4622
2010,歐簿客科技股份有限公司\nOBOOK INC.,OBOOK,470
2011,睿能創意股份有限公司\nGogoro Taiwan Limited,Gogoro,14400
2011,愛卡拉互動媒體股份有限公司\niKala Interactive Media Inc.,iKala,909
2013,九易宇軒股份有限公司\n91APP(TAIWAN)，INC.,91APP,570
2013,創意引晴股份有限公司\nVisualSearch Technology Co.,VisualSearch,428
2013,關鍵評論網股份有限公司\nThe News Lens Co.，Ltd.,The News Lens,369
2014,酷遊天股份有限公司\nKKDAY.COM INTERNATIONAL COMPANY LIMITED (TAIWAN),KKDAY,3053
2014,稜研科技股份有限公司\nTMY TECHNOLOGY INC.,TMY,371
2015,耐能智慧股份有限公司\nKneron (Taiwan) Co.，Ltd.,Kneron,2082
2015,知之有限公司\nSnapask Inc.,Snapask,1620
2015,藝啟股份有限公司\n17LIVE Inc.,17LIVE,1459
2016,炳碩生醫股份有限公司\nPOINT ROBOTICS MEDTECH INC.,POINT ROBOTICS MEDTECH,540
2017,萬里雲互聯股份有限公司\nCloud Mile Inc.,Cloud Mile,570
2017,巧克科技新媒體股份有限公司\nCHOCO MEDIA CO.，LIMITED,CHOCO MEDIA,510
2018,元創電子股份有限公司\nOrigin Wireless Taiwan Corporation,Origin Wireless,799
2019,易達通科技股份有限公司\nInfinity Communication Tech. Inc.,Infinity Communication Tech,514
